L,omega,Re(sigma),Im(sigma),delta_1,Stability
2.5,1000.0,-82.13935990311147,17644.856032029336,3.44e-06,Stable
2.5,1141.4141414141413,-82.71729546111781,13785.993380639919,3.44e-06,Stable
2.5,1282.828282828283,-83.6084694333104,10538.478404425467,3.44e-06,Stable
2.5,1424.2424242424242,-84.94025609064697,7702.527420187938,3.44e-06,Stable
2.5,1565.6565656565658,-86.88621597593183,5146.4561119062455,3.44e-06,Stable
2.5,1707.0707070707072,-89.6853140039599,2777.4125451900277,3.44e-06,Stable
2.5,1848.4848484848485,-93.6709118241789,525.1565518689472,3.44e-06,Stable
2.5,1989.8989898989898,-99.31544829600067,-1667.777986426534,3.44e-06,Stable
2.5,2131.3131313131316,-107.30101077693003,-3852.761235166323,3.44e-06,Stable
2.5,2272.727272727273,-118.63399461405285,-6080.361288942821,3.44e-06,Stable
2.5,2414.1414141414143,-134.8375665807113,-8405.460951678173,3.44e-06,Stable
2.5,2555.5555555555557,-158.28720321660185,-10893.334604174848,3.44e-06,Stable
2.5,2696.969696969697,-192.82229792966382,-13628.206266030218,3.44e-06,Stable
2.5,2838.3838383838383,-244.92171063909868,-16726.896787356254,3.44e-06,Stable
2.5,2979.7979797979797,-326.11332551296033,-20362.747852669214,3.44e-06,Stable
2.5,3121.2121212121215,-458.3226136328957,-24811.3160238828,3.44e-06,Stable
2.5,3262.626262626263,-687.013975177091,-30546.16796265289,3.44e-06,Stable
2.5,3404.040404040404,-1118.1251282159024,-38464.186619941654,3.44e-06,Stable
2.5,3545.4545454545455,-2043.335440907247,-50504.48753044001,3.44e-06,Stable
2.5,3686.8686868686873,-4505.665926209269,-71786.53234853054,3.44e-06,Stable
2.5,3828.2828282828286,-14552.514633065233,-121475.86821511347,3.44e-06,Stable
2.5,3969.69696969697,-168117.47767042308,-350825.90397635,3.44e-06,Stable
2.5,4111.111111111111,-84727.31024382598,240997.61978816544,3.44e-06,Stable
2.5,4252.525252525253,-14816.696998980817,96535.394501993,3.44e-06,Stable
2.5,4393.939393939394,-6348.7933702099435,57360.2470501375,3.44e-06,Stable
2.5,4535.353535353535,-3712.135662063006,39082.93233896559,3.44e-06,Stable
2.5,4676.767676767677,-2543.1510505191563,28290.978913888852,3.44e-06,Stable
2.5,4818.181818181818,-1918.9192721181546,21005.637353213286,3.44e-06,Stable
2.5,4959.595959595959,-1546.0063161603991,15633.024113685957,3.44e-06,Stable
2.5,5101.010101010102,-1306.894788987646,11409.21670351446,3.44e-06,Stable
2.5,5242.424242424243,-1146.9777915808575,7920.553319919033,3.44e-06,Stable
2.5,5383.838383838384,-1038.2120975424332,4921.597375340733,3.44e-06,Stable
2.5,5525.252525252526,-965.2572992685318,2255.397596960429,3.44e-06,Stable
2.5,5666.666666666667,-919.5229932463366,-185.43862747471303,3.44e-06,Stable
2.5,5808.080808080808,-896.4083059248047,-2479.533046217982,3.44e-06,Stable
2.5,5949.49494949495,-893.9968462833617,-4688.826721745099,3.44e-06,Stable
2.5,6090.909090909091,-912.515885375832,-6866.333173896127,3.44e-06,Stable
2.5,6232.323232323232,-954.2942388449899,-9061.802310118379,3.44e-06,Stable
2.5,6373.737373737375,-1024.171303132154,-11326.652706186505,3.44e-06,Stable
2.5,6515.151515151516,-1130.4823075090387,-13719.2370430087,3.44e-06,Stable
2.5,6656.565656565657,-1286.9788708332483,-16311.621553223558,3.44e-06,Stable
2.5,6797.979797979799,-1516.4916605882656,-19199.648056220645,3.44e-06,Stable
2.5,6939.39393939394,-1858.1507605813101,-22519.469801137562,3.44e-06,Stable
2.5,7080.808080808081,-2382.5047512039637,-26477.00566020951,3.44e-06,Stable
2.5,7222.222222222223,-3225.889493158835,-31404.506147802444,3.44e-06,Stable
2.5,7363.636363636364,-4677.390650046124,-37878.20318760468,3.44e-06,Stable
2.5,7505.050505050505,-7432.323289691609,-46985.16905206154,3.44e-06,Stable
2.5,7646.464646464647,-13488.004427794243,-60975.25787636233,3.44e-06,Stable
2.5,7787.878787878788,-30276.239745978368,-84652.13621351891,3.44e-06,Stable
2.5,7929.29292929293,-95450.96890707721,-117328.8555000338,3.44e-06,Stable
2.5,8070.707070707072,-206125.14699149574,24617.104352056016,3.44e-06,Stable
2.5,8212.121212121212,-71747.42337107065,86843.86916186007,3.44e-06,Stable
2.5,8353.535353535353,-28408.17241792092,57459.90711123202,3.44e-06,Stable
2.5,8494.949494949495,-15152.802006773067,38645.47392492088,3.44e-06,Stable
2.5,8636.363636363636,-9643.141079752148,27000.636561095725,3.44e-06,Stable
2.5,8777.777777777777,-6857.723410462538,19113.704637987048,3.44e-06,Stable
2.5,8919.191919191919,-5262.586845347883,13339.609741165372,3.44e-06,Stable
2.5,9060.60606060606,-4270.810583055369,8845.393296966624,3.44e-06,Stable
2.5,9202.020202020203,-3620.0792678932953,5172.243978447801,3.44e-06,Stable
2.5,9343.434343434345,-3179.5307465988094,2047.3639210882993,3.44e-06,Stable
2.5,9484.848484848486,-2878.627331274735,-702.6785257494303,3.44e-06,Stable
2.5,9626.262626262627,-2677.447783167429,-3195.1288371656847,3.44e-06,Stable
2.5,9767.676767676769,-2553.0856840662755,-5514.210933969061,3.44e-06,Stable
2.5,9909.09090909091,-2493.0506947865056,-7724.47241278042,3.44e-06,Stable
2.5,10050.505050505051,-2492.0579174812046,-9879.095009625025,3.44e-06,Stable
2.5,10191.919191919193,-2550.692751589026,-12025.603667130536,3.44e-06,Stable
2.5,10333.333333333334,-2675.3621462945316,-14210.344652331634,3.44e-06,Stable
2.5,10474.747474747475,-2879.456105943995,-16482.63557689207,3.44e-06,Stable
2.5,10616.161616161617,-3186.0828095755514,-18899.339724745005,3.44e-06,Stable
2.5,10757.575757575758,-3633.3576217068626,-21530.679249564593,3.44e-06,Stable
2.5,10898.9898989899,-4284.39615543565,-24468.341316807288,3.44e-06,Stable
2.5,11040.40404040404,-5246.7122590100025,-27837.270740337975,3.44e-06,Stable
2.5,11181.818181818182,-6711.756182787957,-31812.47648323708,3.44e-06,Stable
2.5,11323.232323232323,-9040.551126698821,-36638.981140658914,3.44e-06,Stable
2.5,11464.646464646465,-12961.527391427462,-42632.867259142986,3.44e-06,Stable
2.5,11606.060606060608,-20048.856177110938,-50032.49770319082,3.44e-06,Stable
2.5,11747.47474747475,-33795.47557075027,-57997.65145854804,3.44e-06,Stable
2.5,11888.88888888889,-60192.69318647557,-59619.2505067809,3.44e-06,Stable
2.5,12030.303030303032,-92158.77611605413,-32360.375862859048,3.44e-06,Stable
2.5,12171.717171717173,-84387.0230337498,14948.497057261262,3.44e-06,Stable
2.5,12313.131313131315,-52946.363940750845,30586.54733350157,3.44e-06,Stable
2.5,12454.545454545456,-32209.97963631748,27103.75908949785,3.44e-06,Stable
2.5,12595.959595959597,-21144.40409315176,20432.357367587407,3.44e-06,Stable
2.5,12737.373737373739,-15029.475755259899,14368.68536547388,3.44e-06,Stable
2.5,12878.78787878788,-11407.11096842928,9346.934283551687,3.44e-06,Stable
2.5,13020.202020202021,-9124.772814940825,5195.3868173298215,3.44e-06,Stable
2.5,13161.616161616163,-7617.648998667792,1693.8361295008344,3.44e-06,Stable
2.5,13303.030303030304,-6590.526806416835,-1334.2252908001174,3.44e-06,Stable
2.5,13444.444444444445,-5879.866443269114,-4019.3489745476436,3.44e-06,Stable
2.5,13585.858585858587,-5390.980932799648,-6457.68163103805,3.44e-06,Stable
2.5,13727.272727272728,-5067.72344952573,-8721.655078387024,3.44e-06,Stable
2.5,13868.68686868687,-4877.14340842201,-10867.879023334124,3.44e-06,Stable
2.5,14010.10101010101,-4801.536957001748,-12942.726546199772,3.44e-06,Stable
2.5,14151.515151515152,-4834.478391751279,-14986.343358063441,3.44e-06,Stable
2.5,14292.929292929293,-4979.288073734372,-17035.649089189017,3.44e-06,Stable
2.5,14434.343434343435,-5249.334149230006,-19126.7038704604,3.44e-06,Stable
2.5,14575.757575757576,-5670.155464214171,-21296.626635814086,3.44e-06,Stable
2.5,14717.17171717172,-6283.921870506321,-23585.01048656021,3.44e-06,Stable
2.5,14858.58585858586,-7157.4225272082085,-26034.322427698018,3.44e-06,Stable
2.5,15000.0,-8395.7979765946,-28687.704165682342,3.44e-06,Stable
2.5,1000.0,-164.27865914059038,17644.86433231421,6.88e-06,Stable
2.5,1141.4141414141413,-165.43444609510126,13786.010408873475,6.88e-06,Stable
2.5,1282.828282828283,-167.2166198716229,10538.511035064552,6.88e-06,Stable
2.5,1424.2424242424242,-169.87985058188627,7702.586821482475,6.88e-06,Stable
2.5,1565.6565656565658,-173.77112032456944,5146.56012119558,6.88e-06,Stable
2.5,1707.0707070707072,-179.36811331709436,2777.5893976056955,6.88e-06,Stable
2.5,1848.4848484848485,-187.33711686812123,525.450837770376,6.88e-06,Stable
2.5,1989.8989898989898,-198.62222632530404,-1667.2956045936119,6.88e-06,Stable
2.5,2131.3131313131316,-214.58618866420332,-3851.9777886669863,6.88e-06,Stable
2.5,2272.727272727273,-237.23912893678826,-6079.093609328151,6.88e-06,Stable
2.5,2414.1414141414143,-269.62225567739483,-8403.406146824902,6.88e-06,Stable
2.5,2555.5555555555557,-316.4762994997859,-10889.97866268385,6.88e-06,Stable
2.5,2696.969696969697,-385.45870385838924,-13622.647435920244,6.88e-06,Stable
2.5,2838.3838383838383,-489.4800158999635,-16717.48474152156,6.88e-06,Stable
2.5,2979.7979797979797,-651.4840004813233,-20346.29444691603,6.88e-06,Stable
